Source,Target,Type,Id,Label,timeset,Weight
124065,155194,Directed,13844,,,1
124065,155345,Directed,13850,,,1
124065,155240,Directed,13859,,,1
124065,61264,Directed,13860,,,1
124065,93092,Directed,13861,,,1
124116,123779,Directed,13041,,,1
124116,61263,Directed,13319,,,1
124116,108863,Directed,13320,,,1
124116,128571,Directed,13550,,,1
124116,93092,Directed,13837,,,1
124116,155240,Directed,13845,,,1
124116,155345,Directed,13853,,,1
124418,123779,Directed,13044,,,1
124629,123931,Directed,13054,,,1
124629,124629,Directed,13055,,,1
124629,124630,Directed,13056,,,1
124629,93092,Directed,13057,,,1
124629,123779,Directed,13839,,,1
124630,123931,Directed,13060,,,1
124630,124629,Directed,13061,,,1
124630,124630,Directed,13062,,,1
124630,93092,Directed,13063,,,1
124630,155240,Directed,13862,,,1
124630,123779,Directed,13871,,,1
124630,155345,Directed,13874,,,1
124643,123779,Directed,13058,,,1
124643,144286,Directed,13542,,,2
124643,144496,Directed,13654,,,1
124643,149473,Directed,13655,,,1
124643,149475,Directed,13656,,,1
124643,124753,Directed,13658,,,1
124753,139344,Directed,13419,,,1
124753,28903,Directed,13420,,,1
124792,115207,Directed,13287,,,1
124792,48,Directed,13288,,,1
125123,43,Directed,13117,,,1
125164,125164,Directed,13072,,,13
125164,116916,Directed,13151,,,4
125164,11583,Directed,13241,,,2
125164,112406,Directed,13349,,,1
125164,101984,Directed,14045,,,2
125327,7329,Directed,13079,,,3
125327,46720,Directed,13080,,,4
125327,56967,Directed,13081,,,3
125327,8114,Directed,13082,,,4
125327,125327,Directed,13184,,,2
125327,21209,Directed,13922,,,1
125327,21334,Directed,13923,,,1
125327,94935,Directed,13924,,,1
125330,125740,Directed,13111,,,8
125331,125740,Directed,13112,,,9
125748,125748,Directed,13113,,,3
126932,413,Directed,13306,,,1
127877,119,Directed,13397,,,1
127877,1652,Directed,13398,,,1
127885,127885,Directed,13179,,,5
127885,36258,Directed,13452,,,4
128215,128215,Directed,13195,,,1
128509,128509,Directed,13201,,,1
128915,128916,Directed,13202,,,1
128915,128917,Directed,13203,,,1
128917,128915,Directed,13204,,,1
128917,128916,Directed,13205,,,1
128917,128917,Directed,13206,,,1
128984,128984,Directed,13213,,,1
129562,129562,Directed,13221,,,1
130142,1493,Directed,13890,,,1
130142,130142,Directed,13891,,,1
131913,131887,Directed,13245,,,1
131924,131887,Directed,13246,,,1
133398,25347,Directed,13457,,,11
134108,134022,Directed,13293,,,4
134108,134108,Directed,13454,,,1
134598,134598,Directed,13300,,,7
135708,90258,Directed,13327,,,1
135878,9236,Directed,13375,,,1
135878,135878,Directed,13376,,,1
